Competition,Matchday,Venue,Team,Opponent,Opponent_Position,Result,Position,Minute,At_Score,Type_of_Goal
Season 04/05,,,,,,,,,,
Segunda División B - Grupo III (-20/21),2,H,FC Barcelona B,(1.),Girona FC,Girona  (5.),1:2,LW,65',1:2
Segunda División B - Grupo III (-20/21),4,H,FC Barcelona B,(1.),RCD Espanyol B,RCD Espanyol B  (17.),2:0,LW,88',2:0
Segunda División B - Grupo III (-20/21),10,A,FC Barcelona B,(1.),Villajoyosa CF,Villajoyosa CF  (8.),2:1,AM,2',0:1
Segunda División B - Grupo III (-20/21),14,A,FC Barcelona B,(1.),UE Figueres,UE Figueres  (15.),2:2,AM,20',0:1
Segunda División B - Grupo III (-20/21),17,H,FC Barcelona B,(1.),CD Alcoyano,CD Alcoyano  (11.),2:0,CF,40',2:0
Segunda División B - Grupo III (-20/21),33,H,FC Barcelona B,(1.),UE Figueres,UE Figueres  (11.),2:2,AM,15',2:0
LaLiga,34,H,FC Barcelona,(1.),Albacete Balompié,Albacete  (19.),2:0,CF,90'+1,2:0
Season 05/06,,,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Panathinaikos FC,Panathinaikos,5:0,RW,34',3:0,Left-footed shot
LaLiga,13,H,FC Barcelona,(1.),Racing Santander,Racing  (18.),4:1,RW,51',2:0
LaLiga,19,H,FC Barcelona,(1.),Athletic Bilbao,Athletic  (19.),2:1,RW,50',2:1
LaLiga,20,H,FC Barcelona,(1.),Deportivo Alavés,Alavés  (19.),2:0,CF,82',2:0
LaLiga,21,A,FC Barcelona,(1.),RCD Mallorca,RCD Mallorca  (17.),0:3,CF,75',0:2
83',0:3,Left-footed shot,,,,,,,,
Copa del Rey,Viertelfinale,H,FC Barcelona,Real Zaragoza,Real Zaragoza,2:1,CF,42',1:0,Header
LaLiga,24,H,FC Barcelona,(1.),Real Betis Balompié,Real Betis  (15.),5:1,RW,84',5:1
Season 06/07,,,,,,,,,,
LaLiga,1,A,FC Barcelona,(2.),Celta de Vigo,Celta de Vigo  (18.),2:3,LW,59',1:2
LaLiga,2,H,FC Barcelona,(4.),CA Osasuna,CA Osasuna  (19.),3:0,RW,36',3:0
UEFA Champions League,Gruppenphase,A,FC Barcelona,SV Werder Bremen,Werder Bremen,1:1,RW,89',1:1,Left-footed shot
LaLiga,6,H,FC Barcelona,(1.),Sevilla FC,Sevilla FC  (3.),3:1,RW,80',3:1
LaLiga,26,H,FC Barcelona,(2.),Real Madrid,Real Madrid  (4.),3:3,RW,11',1:1
28',2:2,Left-footed shot,,,,,,,,
90'+1,3:3,Left-footed shot,,,,,,,,
LaLiga,27,A,FC Barcelona,(1.),Recreativo Huelva,Recr. Huelva  (7.),0:4,RW,86',0:4
LaLiga,28,H,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (12.),2:1,RW,45',1:0
Copa del Rey,Halbfinale,H,FC Barcelona,Getafe CF,Getafe,5:2,RW,29',2:0,Solo run
45',3:0,Left-footed shot,,,,,,,,
LaLiga,35,A,FC Barcelona,(2.),Atlético de Madrid,Atlético Madrid  (6.),0:6,RW,39',0:1
80',0:5,Left-footed shot,,,,,,,,
LaLiga,37,H,FC Barcelona,(2.),RCD Espanyol Barcelona,Espanyol  (12.),2:2,RW,43',1:1
57',2:1,Right-footed shot,,,,,,,,
LaLiga,38,A,FC Barcelona,(2.),Gimnàstic de Tarragona,Gimnàstic  (20.),1:5,RW,34',0:2
51',0:4,Left-footed shot,,,,,,,,
Season 07/08,,,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Olympique Lyon,Olympique Lyon,3:0,RW,82',2:0,Left-footed shot
LaLiga,4,H,FC Barcelona,(5.),Sevilla FC,Sevilla FC  (2.),2:1,RW,72',1:0
79',2:0,Penalty,,,,,,,,
LaLiga,5,H,FC Barcelona,(4.),Real Zaragoza,Real Zaragoza  (8.),4:1,RW,5',1:0
10',2:1,Left-footed shot,,,,,,,,
LaLiga,6,A,FC Barcelona,(4.),Levante UD,Levante  (20.),1:4,RW,50',0:4
UEFA Champions League,Gruppenphase,A,FC Barcelona,VfB Stuttgart,VfB Stuttgart,0:2,RW,66',0:2,Deflected shot on goal
LaLiga,7,H,FC Barcelona,(4.),Atlético de Madrid,Atlético Madrid  (5.),3:0,RW,19',2:0
LaLiga,9,H,FC Barcelona,(4.),UD Almería,UD Almería  (9.),2:0,RW,80',2:0
UEFA Champions League,Gruppenphase,H,FC Barcelona,Rangers FC,Rangers,2:0,RW,41',2:0,Tap-in
LaLiga,13,H,FC Barcelona,(3.),Recreativo Huelva,Recr. Huelva  (17.),3:0,RW,81',3:0
UEFA Champions League,Gruppenphase,A,FC Barcelona,Olympique Lyon,Olympique Lyon,2:2,RW,58',1:2,Penalty
UEFA Champions League,Achtelfinale,A,FC Barcelona,Celtic FC,Celtic,2:3,RW,18',1:1,Left-footed shot
79',2:3,Left-footed shot,,,,,,,,
LaLiga,25,H,FC Barcelona,(2.),Levante UD,Levante  (20.),5:1,RW,44',2:1
LaLiga,35,H,FC Barcelona,(3.),Valencia CF,Valencia  (13.),6:0,RW,5',1:0
Season 08/09,,,,,,,,,,
LaLiga,2,H,FC Barcelona,(16.),Racing Santander,Racing  (12.),1:1,RW,70',1:0
LaLiga,3,A,FC Barcelona,(17.),Sporting Gijón,Sporting Gijón  (20.),1:6,RW,85',1:5
89',1:6,Header,,,,,,,,
LaLiga,5,A,FC Barcelona,(6.),RCD Espanyol Barcelona,Espanyol  (8.),1:2,RW,90',1:2
UEFA Champions League,Gruppenphase,A,FC Barcelona,Shakhtar Donetsk,Shakhtar D.,1:2,RW,87',1:1,Right-footed shot
90'+2,1:2,Left-footed shot,,,,,,,,
LaLiga,6,H,FC Barcelona,(5.),Atlético de Madrid,Atlético Madrid  (7.),6:1,RW,8',3:0
UEFA Champions League,Gruppenphase,A,FC Barcelona,FC Basel 1893,FC Basel,0:5,CF,4',0:1,Left-footed shot
LaLiga,9,A,FC Barcelona,(2.),Málaga CF,Málaga CF  (6.),1:4,RW,19',1:2
